Code,Description,Sell,Matrix Master,Inventoried,Inventory,Quantity Total,Quantity Reserved,Quantity in Warehouses,Quantity Ordered For Customers,Quantity Ordered For Stock
661-08772,64GB  Space Gray  MM  iPhone 8  CI/AR,0,unchecked,unchecked,2,2,0,0,0,0
661-08712,64GB  Space Gray  MM  iPhone X  CI/AR,0,unchecked,unchecked,4,4,0,0,0,0
661-13746,64GB  Space Gray  NA  iPhone 11 Pro Max  CI/AR,0,unchecked,unchecked,2,2,0,0,0,0
661-13262,64GB  White  NA  iPhone 11  CI/AR,0,unchecked,unchecked,2,2,0,0,0,0
661-10853,64GB  White  NA  iPhone XR  CI/AR KXKP,0,unchecked,unchecked,3,3,0,0,0,0
661-10855,64GB  Yellow  NA  iPhone XR  CI/AR,399,unchecked,unchecked,1,1,0,0,0,0
661-15993,661-15993 Silver  Trackpad,0,unchecked,unchecked,1,1,0,0,0,1
661-4951 - 3rd Party,"661-4951 Apple Right Fan for MacBook Pro 15"" Unibody Late 2008 & Mid 2009",19,unchecked,checked,1,1,0,0,0,0
661-5304 KGB,"661-5304 Apple LED Backlight Board for iMac 21.5"" Late 2009",39,unchecked,checked,1,1,0,0,0,0
661-5546 - Third Party,"661-5546 Apple Video Card ATI Radeon HD 5670 512MB for iMac 21.5"" MID 2010",289,unchecked,checked,-1,-1,0,0,0,0
661-5558 - 3rd Party KGB,"661-5558 Apple LCD Display Clamshell Glossy for MacBook Pro 13"" Mid 2010",199,unchecked,checked,0,0,0,0,0,0
661-5593 - 3rd Party,"661-5593 Apple AirPort Extreme Card for MacBook Pro 13"" Unibody Mid 2010",59,unchecked,checked,1,1,0,0,0,0
661-5950,"661-5950 Apple Logic Board 3.4 GHz Quad-Core i7 for iMac 27"" Mid 2011 820-2828",517,unchecked,checked,0,0,0,0,0,0
661-6076 - 3rd Party KGB,"661-6076 Apple Top Case Housing with Keyboard for MacBook Pro 15"" Late 2011",89,unchecked,checked,1,1,0,0,0,0
661-7169 - Third Party,"661-7169 Apple LCD Display Panel for iMac 27"" Late 2012",929,unchecked,checked,0,0,0,0,0,0
OCSO1333/8GB,8GB DDR3 1333/10600 SODIMM,69,unchecked,checked,19,19,0,0,0,0
OCSO12800/8GB,8GB DDR3 1600/PC3-12800 SODIMM,69,unchecked,checked,6,6,0,0,0,0
OCSO1866/8GB,8GB DDR3 1867/PC3-14900 SO-DIMM,69,unchecked,checked,1,1,0,0,0,0
OCSO2400/8GB,8GB DDR3 2400/PC4-19200 SO-DIMM ,79,unchecked,checked,4,4,0,0,0,0
OCSO1066/8GB,8GB DDR3 PC3-8500 SO-DIMM,69,unchecked,checked,3,3,0,0,0,0
922-8785,"922-8785 Apple Display Clutch Cover for MacBook & MacBook Pro 13""",39,unchecked,checked,1,1,0,0,0,0
922-9355 KGB,"922-9355 Apple Lcd Function Cable for Apple LED Cinema Display 27""",19,unchecked,checked,1,1,0,0,0,0
922-9525,"922-9525 Apple Trackpad Assembly for MacBook Pro 13"" Unibody 2009  Early - Late 2011  and Mid 2012 - NEW",99,unchecked,unchecked,0,0,0,0,0,0
922-9747 - 3rd Party,"922-9747 Apple Left Speaker for MacBook Pro 15"" Early - Late 2011",45,unchecked,unchecked,0,0,0,0,0,0
923-00089,"923-00089 Apple Fan for iMac 27"" Late 2014 - 2015 KGB",0,unchecked,checked,1,1,0,0,0,0
923-00461 ,"923-00461 Apple Input/Output (I/O) Board Flex Cable for MacBook Retina 12"" Early 2015 KGB",39,unchecked,checked,1,1,0,0,0,0
923-00541,"923-00541 Apple Trackpad Flex Cable for MacBook Pro 15"" Retina Display Mid 2015 - NEW",0,unchecked,checked,1,1,0,0,0,0
923-0085 - 3rd Party,"923-0085 Apple Right Speaker Subwoofer for MacBook Pro 15"" Mid 2012",69,unchecked,unchecked,0,0,0,0,0,0
923-0124,"923-0124 Apple Trackpad for 13"" MacBook Air Mid 2012",69,unchecked,checked,1,1,0,0,0,0
923-01288 - kGB,"923-01288 Apple Mylar  eDP Flex Cable Cowling for MacBook Pro 13"" Two Thunderbolt 3 Ports 2016 - 2017 - NEW",0,unchecked,checked,1,1,0,0,0,0
923-0430 - kGB,"923-0430 Apple I/O Board for MacBook Air 11"" Mid 2013  Early 2014  Early 2015",69,unchecked,checked,1,1,0,0,0,0
